,sex,age,educyr,farm,urban,hhsize,rlfood,exp12m,commune
1459,male,67,9.0,no,yes,2,5813.987900387767,5531.996167516651,49
1460,male,68,5.0,no,yes,6,7422.899291969603,650.0004141218382,49
1461,female,32,4.0,no,yes,8,5496.819878021069,4289.99994885435,49
1462,female,55,3.0,no,yes,8,9882.106732049295,5980.000915270896,50
1463,male,47,4.0,no,yes,5,6974.591230318705,6913.000166290381,50
1464,female,28,4.0,no,yes,6,4081.978188422791,10644.993854349688,50
1465,male,78,5.0,no,yes,2,1407.4952707884574,585.0000893693707,50
1466,female,37,9.0,no,yes,9,10814.585378290885,3172.0013235022448,50
1467,male,62,11.0,no,yes,8,7738.947690182698,324.9999407428408,50
1468,female,58,1.0,no,yes,5,6826.531564956982,2079.9996407936746,50
1469,male,43,5.0,no,yes,8,8532.033448993105,13272.997668913622,50
1470,male,43,5.0,no,yes,8,7647.338822796865,1573.0001524893362,50
1471,male,42,4.0,yes,yes,9,10780.85333046146,9722.995218135886,50
1472,male,30,11.0,no,yes,5,7586.525559224841,311.99994140344694,50
1473,male,50,5.0,no,yes,13,9549.957660409742,539.9999246385124,50
1474,male,36,0.0,no,yes,6,2633.7685281845897,260.0000959359805,50
1475,male,28,9.0,no,yes,3,5152.591134286279,39.00001380094624,50
1476,male,49,6.0,no,yes,3,3419.1456879271127,324.9999407428408,50
1477,male,34,2.0,no,yes,5,4822.274578567683,273.0000559145118,50
1478,male,28,8.0,no,yes,5,2187.5598984380626,4289.99994885435,50
1479,male,36,11.0,no,yes,4,13507.805736021173,1091.9998293151164,50
1480,male,62,6.0,no,yes,6,6773.877843000799,350.99992156348986,50
1481,female,75,3.0,no,yes,6,5396.43052447399,364.00004818022944,50
1482,female,27,9.0,no,yes,9,7820.775520174392,2586.9995286847848,50
1483,male,66,6.0,no,yes,3,2997.8990330699235,1690.0003246200993,50
1484,male,45,12.0,no,yes,9,8288.240649723777,78.00001351821305,50
1485,female,46,4.0,no,yes,2,3961.135477936408,324.9999407428408,50
1486,male,50,4.0,no,yes,8,6971.216344951384,2274.999246099134,50
1487,female,46,5.0,no,yes,7,3412.7100816957077,1508.0006807597579,50
1488,female,36,8.0,no,yes,4,4817.425809681328,1429.9989657472215,50
1489,female,52,5.0,no,yes,3,2744.697095138413,480.99987007914655,50
1490,male,68,0.0,no,yes,4,5132.740468939298,2196.999840971018,50
1491,male,33,5.0,no,yes,4,5652.035360128037,8124.999941516752,50
1492,male,31,4.0,no,yes,6,10705.37252952219,1416.9996603583465,50
1493,female,62,0.0,no,yes,4,2492.947439329855,780.0000626467654,50
1494,male,40,9.0,yes,yes,6,13863.295291444414,99.99998140119261,51
1496,male,32,6.0,no,yes,6,6811.202758033291,26782.929376820328,51
1497,male,41,8.0,no,yes,5,7574.351377661191,22845.05587899839,51
1498,male,41,10.0,no,yes,7,8872.3945552171,818.9999313243393,51
1499,male,39,7.0,no,yes,4,10836.106158590786,49.9999997285927,51
1500,male,45,13.0,yes,yes,5,11722.484163338231,1614.9996194143819,51
1501,female,33,4.0,no,yes,5,6154.402756281125,636.999582400669,51
1502,female,62,2.0,no,yes,9,17888.368926724463,12856.991140446871,51
1503,female,43,14.0,no,yes,6,16047.911572526482,843.0000354044365,51
1504,male,63,8.0,yes,yes,9,23118.304839328135,6524.99848495459,51
1505,male,49,14.0,no,yes,5,14250.282356617987,154.99998187751785,51
1506,male,34,12.0,no,yes,2,4772.4543961173495,260.0000959359805,51
1507,male,61,5.0,yes,yes,3,11884.139797275844,650.0004141218382,51
1508,male,38,17.0,no,yes,4,12443.392025682224,753.999722522052,51
1509,male,64,3.0,no,yes,2,6918.795688414345,1730.0005406392281,51
1510,male,43,4.0,no,yes,5,5673.531259760283,999.9997210179017,52
1513,female,51,3.0,no,yes,1,2645.2186333821264,260.0000959359805,52
1514,male,58,9.0,no,yes,4,8113.024400735539,5299.999472436896,52
1515,female,44,5.0,no,yes,5,4946.8089939440415,1559.9998436200185,52
1516,female,48,2.0,no,yes,4,7881.685059267691,14.999996983467152,52
1517,male,50,12.0,no,yes,3,5534.380971753241,29.999988550137516,52
1518,male,36,6.0,no,yes,5,6042.66851209929,4479.9985421677775,52
1519,female,62,2.0,no,yes,6,11706.41194313037,710.9996944099612,52
1520,male,54,3.0,no,yes,8,7381.247933651298,1209.000180606729,52
1521,female,65,8.0,no,yes,5,6054.790161633649,199.99992669040608,52
1523,male,41,5.0,no,yes,3,5106.614810637438,3015.997800951214,52
1524,male,80,3.0,no,yes,2,2282.920903342697,2678.001268699808,52
1525,female,53,2.0,no,yes,2,4751.577751087147,2145.000361728288,52
1526,male,62,5.0,yes,yes,4,4743.649238393587,9110.000088786017,52
1527,male,78,7.0,no,yes,1,1666.3418604069648,719.9998473527436,52
1528,female,54,8.0,no,yes,7,8172.654146258562,561.00005300177,52
1530,male,66,6.0,yes,yes,3,3895.958450307148,1787.0008664103118,52
1531,male,62,0.0,no,yes,5,6174.708784628237,1820.000400271114,52
1532,male,39,11.0,yes,yes,5,5129.584804017328,5424.000924139946,52
1533,male,58,5.0,no,yes,4,5205.072969151071,52.00001463376783,52
1534,female,86,0.0,no,yes,6,6658.170326235986,1385.999750866732,52
1535,male,40,5.0,no,yes,5,4355.009192166546,63.999994664981244,52
1536,male,38,15.0,no,yes,4,13897.246417026636,141.00001545667914,52
1537,male,43,8.0,no,yes,5,10117.228078135868,249.00002578028906,52
1538,male,35,8.0,no,yes,4,6790.507771432078,739.9998622133335,52
1539,female,38,9.0,no,yes,4,4999.204106270222,438.00003925511845,52
1540,male,35,6.0,no,yes,3,3732.628663682234,110.99997765433316,52
1542,male,57,9.0,no,yes,8,14311.933804454486,499.99995078890663,53
1543,male,74,2.0,no,yes,2,5353.575851075715,650.0004141218382,53
1544,male,44,14.0,no,yes,4,6549.879948578297,390.00010174177345,53
1545,female,48,2.0,no,yes,6,6047.559008864793,619.999703615806,53
1547,male,42,12.0,no,yes,5,5803.955808488565,145.0000373490216,53
1552,male,68,1.0,no,yes,8,6107.3057654605955,988.0002986251517,53
1553,male,46,5.0,no,yes,4,7407.083121721964,1100.0005953350526,53
1554,female,36,9.0,no,yes,3,8947.7107819597,195.00008608008832,53
1555,female,52,12.0,no,yes,2,5499.711965829324,390.00010174177345,53
1558,male,31,6.0,no,yes,5,7303.865444944244,249.00002578028906,53
1559,male,40,8.0,no,yes,6,7194.28327468248,235.00011417615033,53
1562,male,37,10.0,no,yes,6,3581.611078168262,2089.9992790361134,53
1563,female,48,5.0,no,yes,5,5931.8119392556755,592.000216148708,53
1565,female,54,9.0,no,yes,1,1654.0150918535178,195.00008608008832,53
1566,male,44,15.0,no,yes,5,9585.003302227207,240.00001839792282,53
1567,male,44,16.0,no,yes,4,6535.518729295387,20044.999497339413,53
1568,male,46,8.0,no,yes,9,16223.157892569458,14.999996983467152,53
1569,male,63,14.0,no,yes,7,9060.304429839094,1247.0000677369967,53
1572,female,67,0.0,no,yes,1,1280.9201937563491,71.00000873006711,54
1573,female,60,5.0,yes,yes,7,9247.042040863143,483.00016728583654,54
1574,female,68,5.0,no,yes,5,7842.359306303576,45.00002296034146,54
1575,male,43,10.0,yes,yes,5,14129.555255661124,2644.9990893467593,54
1576,male,31,8.0,no,yes,5,4669.657464966795,2135.9995726289803,54
1580,male,39,2.0,no,yes,3,4430.851248511961,14.999996983467152,54
1581,male,30,3.0,no,yes,3,3616.2071249442074,14.999996983467152,54
1582,female,57,2.0,no,yes,2,3625.842666506029,344.99985612421074,54
1583,male,41,6.0,no,yes,4,9146.897228028585,45.00002296034146,54
1584,female,69,0.0,no,yes,4,3039.2407198590995,598.0001471375402,54
1587,male,35,6.0,no,yes,4,4685.4441840144045,14.999996983467152,54
1589,male,40,6.0,no,yes,7,9302.998067129303,1265.0007575307764,54
1591,male,40,11.0,no,yes,8,5469.748957835216,1579.9998008868122,54
1592,female,71,3.0,no,yes,2,2994.471397557427,207.9999834221266,54
1593,female,58,5.0,no,yes,7,10500.970915357646,14.999996983467152,54
1594,male,48,11.0,no,yes,4,12809.546599473184,14.999996983467152,54
1595,female,73,3.0,no,yes,3,2794.892714337312,130.00007144079393,54
1596,male,59,0.0,no,yes,7,5195.514831652937,165.00008680642708,54
1599,male,64,8.0,no,yes,6,5498.656122496088,1385.999750866732,54
1600,male,39,9.0,no,yes,4,2929.7254659698347,209.9998885493612,54
1601,female,76,15.0,no,yes,3,1860.0004339245709,260.0000959359805,54
1603,female,34,3.0,no,yes,6,6361.878663126667,496.0000363444373,54
1604,male,39,16.0,no,yes,5,6563.918264202582,1012.999489196212,55
1605,male,75,4.0,no,yes,7,7481.405841250501,2964.0000402630435,55
1606,male,42,12.0,yes,yes,4,12250.68337339279,39.999981835446675,55
1607,male,44,4.0,no,yes,5,5118.143220432281,130.00007144079393,55
1608,male,37,17.0,no,yes,3,7032.890030705462,19.999994528920926,55
1609,female,48,14.0,no,yes,3,8124.634324745823,384.00017180635143,55
1610,male,33,3.0,no,yes,4,6777.421507700228,9.999999070059587,55
1611,male,37,9.0,no,yes,3,8248.65140577464,9.999999070059587,55
1612,male,48,7.0,no,yes,5,7698.655636989904,13666.993891333432,55
1613,male,35,7.0,no,yes,3,6383.3990440835305,605.00032789143,55
1614,male,70,2.0,no,yes,4,2364.249702351295,39.999981835446675,55
1615,male,34,9.0,yes,yes,4,9093.816899746518,39.999981835446675,55
1616,male,34,15.0,no,yes,3,4763.233388903387,49.9999997285927,55
1617,female,69,0.0,no,yes,5,5777.180269584201,2887.998555963635,55
1618,male,46,9.0,no,yes,4,8242.813427467541,84.99997819832588,55
1619,male,44,9.0,no,yes,4,5376.414601263112,4219.9982823335085,55
1620,female,63,0.0,no,yes,3,4067.5698025873726,539.9999246385124,55
1621,male,39,11.0,yes,yes,4,5690.275817369833,547.9998427525102,55
1622,male,35,17.0,no,yes,3,6588.289276882705,1614.9996194143819,55
1623,male,36,9.0,no,yes,4,9579.522248069265,10917.99910099333,55
1624,female,61,9.0,no,yes,7,14425.80650444194,1990.0001637401156,55
1625,male,42,12.0,no,yes,4,9297.901420797154,39.999981835446675,55
1626,female,68,0.0,no,yes,4,10308.622912992163,529.9999965305313,55
1627,male,49,9.0,no,yes,5,7038.1244478500375,25.000004378295362,55
1629,female,33,9.0,no,yes,5,7039.827880073403,359.999988677944,55
1630,male,38,8.0,yes,yes,4,8563.138079263981,258.9999840198203,55
1632,female,36,11.0,no,yes,7,8839.67155031778,128.99994783735482,55
1633,male,34,6.0,no,yes,3,8134.454813391035,506.9999981792702,55
1634,male,60,9.0,no,yes,5,10921.79922586384,4653.998399665425,56
1635,male,73,3.0,yes,yes,3,3555.1729825546904,433.99976820048636,56
1636,male,33,0.0,no,yes,6,6051.122070339609,975.000515777235,56
1637,male,50,8.0,yes,yes,7,10116.489547442858,1040.0000081791652,56
1638,female,41,2.0,yes,yes,6,3753.308512526089,421.0000700197234,56
1639,male,39,4.0,yes,yes,3,7289.432677806499,1800.0001010083427,56
1640,female,52,0.0,yes,yes,4,5681.900211239168,3934.999367049384,56
1641,male,56,6.0,yes,yes,4,7497.763087218578,780.0000626467654,56
1642,female,28,6.0,yes,yes,4,6572.351748392009,233.99997300629934,56
1643,male,66,5.0,yes,yes,3,6734.150845168134,21849.995618556804,56
1644,male,39,0.0,yes,yes,9,4857.955745948796,883.9999446283247,56
1645,male,72,0.0,no,yes,3,6963.064791416496,650.0004141218382,56
1646,male,48,11.0,yes,yes,7,9508.172776381161,780.0000626467654,56
1647,male,25,10.0,yes,yes,3,5429.677397384537,78.00001351821305,56
1648,male,64,3.0,no,yes,2,3229.0879244185817,1022.0002342795765,56
1649,male,36,7.0,yes,yes,3,4284.400865918138,531.9997396703088,56
1650,male,42,12.0,no,yes,4,9608.601827843566,195.00008608008832,56
1651,male,75,0.0,no,yes,5,11645.323941407378,6682.002519671078,56
1653,male,37,12.0,no,yes,13,23046.74906308364,1255.9995641327266,56
1654,female,93,5.0,no,yes,4,8379.545870975573,3749.9995538833164,56
1655,female,38,7.0,no,yes,2,5877.81280643904,1079.0000374864733,56
1657,male,32,13.0,no,yes,3,12497.28875294705,480.99987007914655,56
1658,male,77,0.0,no,yes,3,8660.545583706155,727.9999649128137,56
1659,male,42,9.0,no,yes,7,25256.024492325305,714.9996119738901,56
1660,male,35,9.0,no,yes,5,9887.009472767577,454.99980937735745,56
1661,female,64,4.0,no,yes,7,19282.322065610242,3055.0003922446253,56
1662,female,36,4.0,no,yes,2,8495.254564083349,231.00006686947538,56
1663,female,47,4.0,no,yes,14,26605.679845440332,650.0004141218382,56
1664,female,47,6.0,no,yes,6,9990.07121254424,324.9999407428408,56
1665,male,52,4.0,yes,yes,4,8988.416753514357,753.999722522052,56
1666,male,62,4.0,yes,yes,3,9861.888887601435,273.0000559145118,57
1667,female,48,2.0,no,yes,8,9569.392473126672,311.99994140344694,57
1668,male,44,2.0,no,yes,5,6494.747160386412,74.9999914847772,57
1669,male,70,14.0,yes,yes,2,7034.149030698103,33.000014471609326,57
1670,female,48,12.0,no,yes,3,12616.09930543233,108752.5068304788,57
1671,male,53,15.0,no,yes,5,12948.238050570906,650.0004141218382,57
1672,male,82,0.0,no,yes,4,12667.209444450345,52.00001463376783,57
1673,male,36,12.0,no,yes,5,11155.980490991302,406.99992452487083,57
1674,female,30,4.0,no,yes,3,10596.944671354706,2079.9996407936746,57
1676,female,66,0.0,yes,yes,2,7426.31461110709,1559.9998436200185,57
1677,female,46,12.0,no,yes,4,14264.796530518093,4334.996145256238,57
1678,male,53,16.0,no,yes,4,7052.017323134031,2015.0010591229993,57
1679,male,66,4.0,no,yes,6,15741.770503739775,975.000515777235,57
1680,female,57,5.0,no,yes,3,7289.614915901417,2612.9993061947325,57
1681,male,32,4.0,yes,yes,4,10857.865204571437,299.00012755621196,57
1682,female,49,9.0,no,yes,6,13158.27345705622,650.0004141218382,57
1683,male,48,5.0,no,yes,3,5135.856988171844,223.9999883844714,57
1684,female,41,8.0,no,yes,4,11771.492527630686,1169.999967483592,57
1685,female,47,5.0,no,yes,2,7652.089295074791,130.00007144079393,57
1686,male,40,7.0,no,yes,4,8302.716255950761,143.9999568610624,57
1687,male,49,7.0,no,yes,6,10776.962144810432,16.999994151045335,57
1688,male,52,15.0,no,yes,5,10570.379693223984,1184.9999365204626,57
1689,male,69,5.0,no,yes,3,3363.7240923589675,25.999986011445234,57
1691,male,69,4.0,yes,yes,4,6766.031466434309,1076.0002789834548,57
1692,male,38,17.0,no,yes,4,14487.550885288854,1432.000934350819,57
1693,male,53,8.0,no,yes,6,11919.511997807087,1040.0000081791652,57
1695,female,41,3.0,no,yes,6,8854.720627236211,8360.997356669784,57
1696,male,35,10.0,no,yes,5,12655.548315326256,1209.000180606729,57
1697,male,70,9.0,yes,yes,6,6513.895869095448,2960.0013399387085,57
1699,male,45,7.0,yes,yes,5,7540.9240006568125,78.00001351821305,58
1700,male,43,12.0,no,yes,4,6183.563485194303,78.00001351821305,58
1701,male,46,3.0,no,yes,7,8597.61398377613,520.000097980763,58
1702,male,33,15.0,yes,yes,7,7910.284284483404,485.0000528953234,58
1704,female,68,2.0,yes,yes,6,10631.95108873326,195.00008608008832,58
1705,female,50,5.0,no,yes,2,5207.014823501886,780.0000626467654,58
1706,female,65,5.0,no,yes,2,4487.845403617761,14253.00442049694,58
1707,male,28,8.0,yes,yes,8,8392.762447194707,429.00003477988207,58
1708,male,72,3.0,yes,yes,2,4664.887512898289,6209.998913700172,58
1709,male,47,6.0,no,yes,3,6512.47599456793,1950.0006794624235,58
1710,female,56,4.0,no,yes,2,5782.260643538406,130.00007144079393,58
1711,male,46,5.0,no,yes,10,10371.033927851362,104.00001048929774,58
1712,female,53,2.0,no,yes,3,5131.909032331516,64.99998245678597,58
1714,male,44,15.0,no,yes,4,5475.790895220434,39.00001380094624,58
1715,male,33,10.0,no,yes,5,7595.862726843587,255.0001159846277,58
1716,male,57,3.0,no,yes,7,7920.265444765101,104.00001048929774,58
1717,male,32,8.0,yes,yes,3,6116.914000217783,390.00010174177345,58
1718,male,48,6.0,yes,yes,10,9583.0577440377,3250.0023551985582,58
1719,male,43,11.0,yes,yes,10,7848.988900526488,520.000097980763,58
1720,male,57,6.0,no,yes,5,8295.952298889068,1599.0004591785728,58
1721,male,42,2.0,no,yes,8,6957.538312274665,78.00001351821305,58
1722,male,66,8.0,no,yes,3,4421.202513732331,117.00000762866277,58
1723,male,35,9.0,no,yes,7,5968.225941515529,1976.0002404637753,58
1724,female,74,2.0,no,yes,1,1775.6360930592675,650.0004141218382,58
1726,female,67,1.0,no,yes,2,4983.047845593462,78.00001351821305,58
1727,male,30,15.0,no,yes,4,6321.235762069248,4667.001185652358,58
1728,male,46,6.0,yes,yes,4,6876.63010079589,888.9997906281637,58
1729,male,58,4.0,yes,yes,8,8906.245044109111,1040.0000081791652,58
1731,male,46,4.0,yes,no,6,6754.147232418762,25.999986011445234,59
1734,female,29,9.0,yes,no,4,5382.181208064673,182.00005695203214,59
1736,male,35,11.0,no,no,5,5128.876970156034,3.999998555520698,59
1737,female,51,9.0,yes,no,5,5863.658469672188,260.0000959359805,59
1738,female,74,0.0,yes,no,5,4538.055975033261,195.00008608008832,59
1740,female,36,9.0,yes,no,5,6261.167823687797,273.0000559145118,59
1741,female,63,1.0,yes,no,3,7319.351425821303,130.00007144079393,59
1744,female,39,8.0,yes,no,5,5665.916821518194,169.00004817800746,59
1745,female,34,5.0,yes,no,6,4051.858727989305,2625.999855930446,59
1747,male,64,1.0,yes,no,2,2489.7286310361515,390.00010174177345,59
1750,female,59,2.0,yes,no,5,6301.94755297512,64.99998245678597,59
1751,male,51,0.0,yes,no,7,3182.5435036988933,1416.9996603583465,59
1753,male,33,9.0,yes,no,3,4039.3739658508202,12.999995353000852,59
1754,male,32,9.0,yes,no,4,8577.767838912734,25.999986011445234,59
1756,female,50,3.0,yes,no,6,5006.528301084239,85.99997452220214,59
1757,male,34,2.0,yes,no,7,5305.848597054215,169.00004817800746,59
1758,male,29,10.0,yes,no,3,6331.237540131299,155.99999886907224,59
1759,male,66,2.0,yes,no,7,5059.3181488005,64.99998245678597,59
1760,male,61,5.0,yes,no,4,6999.703010038247,260.0000959359805,59
1762,female,65,3.0,yes,no,5,8267.893171502039,650.0004141218382,60
1763,male,51,4.0,yes,no,6,8960.515161327185,572.0000049307557,60
1764,male,37,9.0,yes,no,6,8189.98217164153,52.00001463376783,60
1767,male,62,4.0,yes,no,5,4647.496655680658,650.0004141218382,60
1768,male,42,3.0,yes,no,8,5420.8125490706825,1260.0000000686405,60
1769,male,58,5.0,yes,no,3,7211.916454344936,1169.999967483592,60
1771,male,53,11.0,yes,no,4,4035.675593411273,454.99980937735745,60
1772,male,40,6.0,yes,no,6,8627.82737693882,130.00007144079393,60
1773,male,61,9.0,yes,no,6,11804.546112146896,1429.9989657472215,60
1775,male,31,10.0,yes,no,5,6044.197500641751,415.9998917313286,60
1776,male,42,6.0,yes,no,6,6170.468216495129,233.99997300629934,60
1777,male,34,3.0,yes,no,5,6569.907288239381,324.9999407428408,60
1778,male,60,5.0,yes,no,4,4691.346873205234,1950.0006794624235,60
1780,male,47,9.0,yes,no,6,8338.453112232386,25.999986011445234,60
1781,male,34,9.0,yes,no,4,5484.454967770439,214.9999939525525,60
1783,male,38,8.0,yes,no,5,12211.556054795175,12.999995353000852,60
1784,male,40,6.0,yes,no,7,7391.958506443787,1159.9996704435705,60
1785,male,37,7.0,yes,no,5,5669.379754514435,195.00008608008832,60
1786,male,64,4.0,yes,no,4,3844.5659934378987,64.99998245678597,60
1787,female,68,3.0,yes,no,2,5192.221919213214,454.99980937735745,60
1789,male,38,9.0,yes,no,4,6196.760905996332,39.00001380094624,60
1790,female,33,10.0,yes,no,5,7801.154386529257,153.9999072283291,60
1791,male,28,10.0,yes,no,5,7787.047068064259,1313.0001650404386,60
1792,male,30,9.0,yes,no,4,5081.8822825246825,585.0000893693707,60
1793,male,46,9.0,yes,no,5,5428.282149590433,52.00001463376783,60
1794,male,35,11.0,yes,no,4,5573.486056069732,199.99992669040608,61
1796,male,40,11.0,yes,no,5,5046.963225974666,130.00007144079393,61
1797,male,57,17.0,yes,no,4,7179.241386615531,1351.999653072911,61
1798,female,62,6.0,yes,no,7,10266.587815955614,1169.999967483592,61
1799,male,37,15.0,yes,no,4,4385.526649047825,130.00007144079393,61
1800,male,35,8.0,yes,no,5,6463.672928576193,52.00001463376783,61
1801,female,53,0.0,yes,no,4,3462.3748311714794,286.0000541055274,61
1802,male,67,5.0,yes,no,2,2677.827204274497,390.00010174177345,61
1803,male,69,5.0,yes,no,5,5214.414036749347,64.99998245678597,61
1804,male,40,17.0,yes,no,6,8709.389713018176,19556.01127015468,61
1806,female,34,10.0,yes,no,5,5416.179735151405,221.00006596458653,61
1807,male,65,5.0,yes,no,5,5521.3407540249655,910.0003644451576,61
1808,female,41,12.0,yes,no,4,6142.4747888033935,155.99999886907224,61
1809,male,35,13.0,yes,no,4,7526.971133750424,2184.99976504764,61
1811,male,35,12.0,yes,no,9,8019.577350235413,286.0000541055274,61
1813,male,39,17.0,yes,no,5,6983.140339836353,286.0000541055274,61
1814,male,37,14.0,yes,no,4,4563.5312511515485,390.00010174177345,61
1815,male,29,12.0,yes,no,4,3998.5137157904032,25.999986011445234,61
1817,male,64,6.0,yes,no,4,3623.566352148981,39.00001380094624,61
1819,male,36,10.0,yes,no,6,4860.127737571203,25.999986011445234,61
1820,male,61,5.0,yes,no,5,5128.574375341428,64.99998245678597,61
1821,male,37,10.0,yes,no,4,3655.1558079887764,25.999986011445234,61
1822,male,29,11.0,yes,no,4,5362.00901462394,107.99997547058706,61
1823,male,38,8.0,yes,no,3,4223.18558409168,221.00006596458653,61
1824,male,73,3.0,yes,no,3,2638.102004786671,260.0000959359805,61
1825,male,53,12.0,yes,no,5,7511.105968293875,64.99998245678597,61
1826,male,37,12.0,yes,no,4,4772.869617711693,155.99999886907224,62
1827,male,38,13.0,yes,no,4,4820.211086666825,12.999995353000852,62
1828,male,74,5.0,yes,no,6,7196.355526655544,4199.001340807284,62
1831,male,64,8.0,yes,no,5,3541.1365007026375,311.99994140344694,62
1832,female,56,4.0,yes,no,6,5184.02468610032,64.99998245678597,62
1833,male,42,8.0,yes,no,7,4840.464663703892,195.00008608008832,62
1834,male,66,9.0,yes,no,5,7126.866957955954,624.0003941376015,62
1835,male,68,9.0,yes,no,3,5209.775272812789,494.000238509224,62
1837,female,67,0.0,yes,no,6,6509.090387384912,195.00008608008832,62
1839,male,36,5.0,yes,no,5,3915.741538234833,169.00004817800746,62
1840,male,37,9.0,yes,no,6,6051.091814804898,78.00001351821305,62
1841,male,41,15.0,yes,no,5,6914.4105621797935,52.00001463376783,62
1842,male,31,5.0,yes,no,4,3451.6028626403477,585.0000893693707,62
1843,male,33,4.0,yes,no,4,5711.69439321674,520.000097980763,62
1844,male,39,13.0,yes,no,5,5556.412804609452,260.0000959359805,62
1845,male,45,17.0,yes,no,4,4670.115113822787,139.9999408347099,62
1846,male,28,13.0,yes,no,4,5047.851569674397,3562.0019097682093,62
1847,male,55,10.0,yes,no,9,7228.436210586953,702.0004183740052,62
1848,male,52,8.0,yes,no,6,5850.26360561743,78.00001351821305,62
1849,male,39,14.0,yes,no,6,5479.466383899678,265.000046113655,62
1851,male,35,11.0,yes,no,7,7832.006389267168,39.00001380094624,62
1852,male,36,9.0,yes,no,6,4957.000009812017,52.00001463376783,62
1853,male,65,5.0,yes,no,5,4687.421858720074,64.99998245678597,62
1854,male,41,4.0,yes,no,5,3986.3687189727025,611.0000249461559,62
1855,male,33,9.0,yes,no,6,5748.044563273381,78.00001351821305,62
1856,male,57,0.0,yes,no,4,3195.9926272003217,90.99995390697832,62
1857,male,37,10.0,yes,no,5,4999.3440859448965,520.000097980763,62
1858,male,25,10.0,yes,no,6,6044.947027601538,324.9999407428408,63
1860,male,32,10.0,yes,no,6,6636.745587786732,260.0000959359805,63
1861,male,25,9.0,yes,no,4,4621.802224995253,155.99999886907224,63
1863,female,26,8.0,yes,no,5,4181.728680689457,39.00001380094624,63
1864,male,36,3.0,yes,no,6,6392.13111758923,39.00001380094624,63
1865,male,45,0.0,yes,no,7,5422.88369502812,572.0000049307557,63
1867,male,33,5.0,yes,no,5,4222.809737300122,585.0000893693707,63
1868,male,37,2.0,yes,no,7,4804.229717399936,155.99999886907224,63
1869,male,34,10.0,yes,no,9,7499.540267657815,52.00001463376783,63
1871,male,66,1.0,yes,no,6,4993.5581961701155,64.99998245678597,63
1872,male,31,5.0,yes,no,7,6537.989622344423,260.0000959359805,63
1873,male,58,3.0,yes,no,12,7532.889658737179,286.0000541055274,63
1875,male,30,9.0,yes,no,2,4365.176924570791,39.00001380094624,63
1877,female,69,0.0,yes,no,2,3254.168275918114,25.999986011445234,63
1878,female,36,9.0,yes,no,3,3853.1450888870886,104.00001048929774,63
1879,male,31,9.0,yes,no,5,9135.690003459467,560.0001211116642,63
1881,male,35,9.0,yes,no,4,5665.520221221855,52.00001463376783,63
1885,male,70,0.0,yes,no,6,6689.744760481115,195.00008608008832,63
1886,male,30,3.0,yes,no,5,2245.61566300757,221.00006596458653,63
1887,male,67,9.0,yes,no,6,7028.074150661661,260.0000959359805,63
1889,male,45,14.0,no,no,7,9068.34448510574,39.00001380094624,63
1903,male,29,0.0,yes,no,6,5123.140966718881,29.999988550137516,64
1922,male,37,3.0,yes,no,4,6607.713779351913,130.00007144079393,65
1923,female,47,9.0,yes,no,1,1416.1936168927164,25.999986011445234,65
1925,male,56,12.0,yes,no,9,22068.135180324272,3795.001177096359,65
1926,male,33,9.0,yes,no,7,7790.271572976893,273.9999708496702,65
1927,male,79,4.0,yes,no,2,2549.603153594219,910.0003644451576,65
1928,male,36,8.0,yes,no,7,6575.724229806454,260.0000959359805,65
1929,male,60,9.0,yes,no,4,4909.13483216066,520.000097980763,65
1930,male,33,13.0,yes,no,6,7479.715234576131,163.9999298368464,65
1931,male,53,10.0,yes,no,5,7212.911767490662,714.9996119738901,65
1932,male,47,7.0,yes,no,5,5531.537030889181,702.0004183740052,65
1933,male,39,9.0,no,no,6,14062.19120570137,44.000016107599464,65
1934,male,46,6.0,yes,no,6,5686.925231757732,3499.0017762059097,65
1935,female,48,5.0,yes,no,6,5617.404480507961,2509.0011381669037,65
1936,male,51,9.0,yes,no,7,7364.8723737813925,1508.9993077194745,65
1937,male,34,10.0,yes,no,5,8329.927236427595,13.999995385387143,65
1938,male,34,9.0,yes,no,6,8744.454438744377,13.999995385387143,65
1939,male,27,9.0,yes,no,4,4210.892923371511,99.99998140119261,65
1941,male,35,8.0,yes,no,3,3729.5617036139624,270.0000110704391,65
1942,male,40,3.0,yes,no,6,6812.1495810193355,539.0002312801004,65
1943,male,26,9.0,yes,no,4,4394.060404976819,12.999995353000852,65
1944,male,38,5.0,yes,no,5,7023.70404778284,809.9997993901727,65
1947,male,48,14.0,yes,no,6,6155.855366732893,954.000313438386,65
1948,male,53,5.0,yes,no,5,5258.946497365797,130.00007144079393,65
1949,female,58,0.0,yes,no,5,5229.296313925622,260.0000959359805,65
1950,male,40,10.0,yes,no,5,6246.396397210453,78.00001351821305,65
1951,male,39,12.0,yes,no,6,6822.191271241373,262.00013001462486,65
1952,male,42,4.0,yes,no,6,6450.197309873528,454.99980937735745,65
1954,male,58,5.0,yes,no,6,4170.1571502749275,130.00007144079393,66
1956,male,31,12.0,yes,no,6,6518.770085935365,1377.999377731714,66
1957,male,39,6.0,yes,no,7,7242.733721828029,5069.999510312912,66
1958,male,37,9.0,yes,no,4,3571.900192583315,2106.0006471867023,66
1959,male,37,9.0,yes,no,6,4586.1125261462375,104.00001048929774,66
1961,male,33,9.0,yes,no,8,5225.919279406418,780.0000626467654,66
